Raw EEG,Attention,Meditation,Alpha,Delta,Theta,Low Beta,High Beta,Gamma
-26.10429128,,,0.63,2.46,1.16,0.96,0.54,0.34
-5.031903585,,,0.75,2.61,1,0.9,0.49,0.34
-2.003033956,,,0.52,2.64,0.96,0.94,0.51,0.33
-51.67357127,,,0.66,2.38,0.81,0.92,0.46,0.34
9.422302246,,,0.54,2.03,0.78,0.85,0.54,0.32
-13.07837168,,,0.58,2.02,0.9,0.81,0.46,0.32
-18.44946543,,,0.51,2.2,0.83,0.74,0.48,0.31
12.19113668,,,0.52,2.18,0.81,0.7,0.54,0.28
-42.7014033,,,0.6,2.16,0.9,0.76,0.51,0.28
-7.155418396,,,0.6,2,1.14,0.79,0.6,0.28
16.27890269,,,0.64,1.5,1.06,0.7,0.56,0.28
-20.09518941,,,0.66,1.32,0.97,0.65,0.57,0.29
27.25791931,,,0.78,1.31,0.99,0.67,0.56,0.29
-1.410166423,,,0.72,1.33,1.07,0.7,0.6,0.29
-9.766896566,,,0.73,1.39,1.08,0.74,0.61,0.27
44.67932383,,,0.8,1.33,1.11,0.77,0.66,0.27
-6.429990133,,,0.74,1.18,1.05,0.78,0.62,0.28
20.60667674,,,0.85,1.11,1.09,0.73,0.64,0.28
37.86977132,,,0.88,1.15,0.92,0.73,0.58,0.29
-5.378723145,,,0.98,1.31,0.86,0.7,0.59,0.29
43.19286346,,,0.88,1.31,0.77,0.73,0.58,0.28
19.61517334,,,0.8,1.36,0.73,0.71,0.58,0.27
5.821545919,,,0.69,1.55,0.65,0.7,0.56,0.27
50.94559987,,,0.73,1.55,0.65,0.77,0.56,0.29
-5.744616191,,,0.68,1.48,0.85,0.78,0.55,0.34
17.8343455,,,0.68,1.39,0.71,0.77,0.45,0.32
34.59008535,,,0.78,1.57,0.76,0.76,0.48,0.32
-11.63419088,,,0.64,1.51,0.75,0.78,0.5,0.34
39.92271423,,,0.63,1.61,0.8,0.84,0.56,0.35
12.85107931,,,0.64,1.39,0.86,0.8,0.52,0.34
3.427187602,,,0.59,1.46,0.82,0.82,0.53,0.34
45.02868652,,,0.59,1.54,0.85,1.03,0.47,0.35
-17.10955302,,,0.69,1.26,0.87,1.03,0.5,0.36
-14.0988032,,,0.61,1.48,0.71,0.99,0.52,0.33
-0.857671102,,,0.79,1.67,0.73,0.96,0.51,0.33
-42.13142395,,,0.67,1.86,0.81,1,0.52,0.34
22.18691508,,,0.59,1.95,1.03,0.91,0.53,0.33
20.23379008,,,0.64,1.94,1.01,0.87,0.42,0.29
-1.18637085,,,0.66,1.93,1.07,0.82,0.4,0.3
43.89985402,,,0.63,1.79,1.02,0.82,0.39,0.3
3.889083862,,,0.62,1.79,1.06,0.81,0.43,0.28
20.16162872,,,0.63,1.83,1.07,0.63,0.47,0.27
37.72068024,,,0.66,2.1,1.3,0.6,0.43,0.26
-12.86506653,,,0.7,1.75,1.24,0.7,0.48,0.28
23.56084188,,,0.51,1.72,1.03,0.65,0.48,0.27
5.792935689,,,0.56,1.29,0.99,0.74,0.46,0.29
-15.9222285,,,1.14,2.51,2.04,0.98,0.5,0.3
41.47561391,,,0.9,4.57,1.19,0.93,0.52,0.29
-3.203074137,,,0.86,5.47,1.14,0.9,0.49,0.26
12.92260488,,,0.89,5.77,1.16,0.84,0.44,0.27
31.67025248,,,2.16,5.96,2.48,1.04,0.6,0.3
-17.36545563,,,1.74,6.39,2.75,1.14,0.51,0.26
27.64892578,,,1.83,7.17,2.48,1.13,0.51,0.26
21.68909709,,,1.81,6.03,2.59,1.04,0.51,0.26
1.978238424,,,,,,,,
58.58548482,,,,,,,,
21.77937826,,,,,,,,
52.11321513,,,,,,,,
79.9779892,,,,,,,,
62.57661184,,,,,,,,
124.7847875,,,,,,,,
153.222084,,,,,,,,
149.9125163,,,,,,,,
228.7871043,,,,,,,,
209.4710668,,,,,,,,
240.0074005,,,,,,,,
277.2156398,,,,,,,,
239.385287,,,,,,,,
275.9014765,,,,,,,,
263.0379995,,,,,,,,
213.6383057,,,,,,,,
258.0989202,,,,,,,,
197.3450979,,,,,,,,
185.2283478,,,,,,,,
191.3401286,,,,,,,,
111.1017863,,,,,,,,
115.4088974,,,,,,,,
91.01994832,,,,,,,,
29.53147888,,,,,,,,
69.45228577,,,,,,,,
3.67418925,,,,,,,,
-6.668408712,,,,,,,,
2.44140625,,,,,,,,
-69.77717082,,,,,,,,
-50.93129476,,,,,,,,
-72.38864899,,,,,,,,
-126.891772,,,,,,,,
-76.35339101,,,,,,,,
-130.7007472,,,,,,,,
-139.7803624,,,,,,,,
-103.9930979,,,,,,,,
-151.055336,,,,,,,,
-116.5997187,,,,,,,,
-129.5496623,,,,,,,,
-160.6171926,,,,,,,,
-115.1542664,,,,,,,,
-133.8653564,,,,,,,,
-135.6433233,,,,,,,,
-91.77271525,,,,,,,,
-148.3863195,,,,,,,,
-129.248937,,,,,,,,
-134.5564524,,,,,,,,
-168.1636175,,,,,,,,
-125.10554,,,,,,,,
-150.6058375,,,,,,,,
-142.1753565,,,,,,,,
-104.924202,,,,,,,,
-147.5982666,,,,,,,,
-115.5376434,,,,,,,,
-104.1164398,,,,,,,,
-147.6923625,,,,,,,,
-94.07742818,,,,,,,,
-112.130483,,,,,,,,
-111.6790771,,,,,,,,
-59.75723267,,,,,,,,
-109.8105113,,,,,,,,
-81.38179779,,,,,,,,
-62.42116292,,,,,,,,
-109.6007029,,,,,,,,
-64.94299571,,,,,,,,
-87.23036448,,,,,,,,
-94.62292989,,,,,,,,
-45.58149974,,,,,,,,
-90.10505676,,,,,,,,
-67.1676,,,,,,,,
-53.67437998,,,,,,,,
-74.82433319,,,,,,,,
-27.63017019,,,,,,,,
-50.06281535,,,,,,,,
-61.26403809,,,,,,,,
-9.394963582,,,,,,,,
-55.20915985,,,,,,,,
-38.57644399,,,,,,,,
-14.12391663,,,,,,,,
-53.11648051,,,,,,,,
7.552782694,,,,,,,,
-17.58670807,,,,,,,,
-29.34455872,,,,,,,,
14.58930969,,,,,,,,
-36.69961294,,,,,,,,
-21.21194204,,,,,,,,
8.324305216,,,,,,,,
-37.90314992,,,,,,,,
10.1664861,,,,,,,,
-20.3666687,,,,,,,,
-41.59164429,,,,,,,,
6.817181905,,,,,,,,
-31.85876211,,,,,,,,
0.363032023,,,,,,,,
31.13714854,,,,,,,,
-11.54104869,,,,,,,,
45.53858439,,,,,,,,
22.87515004,,,,,,,,
-2.765973409,,,,,,,,
45.59930166,,,,,,,,
-2.239863078,,,,,,,,
11.87928518,,,,,,,,
32.94563293,,,,,,,,
-22.9845047,,,,,,,,
33.62210592,,,,,,,,
21.21957143,,,,,,,,
-7.123629252,,,,,,,,
55.51401774,,,,,,,,
5.169232686,,,,,,,,
33.52737427,,,,,,,,
52.37356822,,,,,,,,
-10.89763641,,,,,,,,
24.93000031,,,,,,,,
14.94598389,,,,,,,,
-10.53937276,,,,,,,,
49.00042216,,,,,,,,
2.035140991,,,,,,,,
16.06019338,,,,,,,,
32.56416321,,,,,,,,
-22.41865794,,,,,,,,
25.03554026,,,,,,,,
26.62944794,,,,,,,,
-3.043174744,,,,,,,,
51.12520854,,,,,,,,
3.634770711,,,,,,,,
1.901626587,,,,,,,,
42.04813639,,,,,,,,
-18.80995433,,,,,,,,
28.23734283,,,,,,,,
25.44848124,,,,,,,,
-9.578069051,,,,,,,,
37.90632884,,,,,,,,
-7.40814209,,,,,,,,
-5.224545797,,,,,,,,
31.4283371,,,,,,,,
-21.67606354,,,,,,,,
15.99566142,,,,,,,,
12.6285553,,,,,,,,
-23.24899038,,,,,,,,
31.01444244,,,,,,,,
-3.711382548,,,,,,,,
1.199404399,,,,,,,,
35.77518463,,,,,,,,
-28.58670553,,,,,,,,
14.06606038,,,,,,,,
22.10776011,,,,,,,,
-21.78382874,,,,,,,,
28.39914958,,,,,,,,
0.687599182,,,,,,,,
-9.209632874,,,,,,,,
2.67124176,,,,,,,,
-32.2860082,,,,,,,,
7.493019104,,,,,,,,
19.85677083,,,,,,,,
-13.58477275,,,,,,,,
43.8006719,,,,,,,,
8.196512858,,,,,,,,
-4.773139954,,,,,,,,
39.66363271,,,,,,,,
-12.70516713,,,,,,,,
19.96040344,,,,,,,,
17.71259308,,,,,,,,
-21.1092631,,,,,,,,
34.62060293,,,,,,,,
2.829551697,,,,,,,,
-16.79166158,,,,,,,,
27.94011434,,,,,,,,
-8.720397949,,,,,,,,
17.20968882,,,,,,,,
19.61771647,,,,,,,,
-21.74886068,,,,,,,,
25.01328786,,,,,,,,
-3.026644389,,,,,,,,
-17.62930552,,,,,,,,
34.32242076,,,,,,,,
-17.36990611,,,,,,,,
13.90679677,,,,,,,,
31.31516774,,,,,,,,
-16.05415344,,,,,,,,
35.20266215,,,,,,,,
13.88486226,,,,,,,,
6.389935811,,,,,,,,
52.33256022,,,,,,,,
-1.770973206,,,,,,,,
21.083196,,,,,,,,
50.90077718,,,,,,,,
1.069704692,,,,,,,,
38.27953339,,,,,,,,
12.27474213,,,,,,,,
-6.818453471,,,,,,,,
43.86488597,,,,,,,,
-19.53252157,,,,,,,,
7.890701294,,,,,,,,
25.21069845,,,,,,,,
-24.43472544,,,,,,,,
16.59679413,,,,,,,,
-1.290639242,,,,,,,,
-18.22948456,,,,,,,,
35.4496638,,,,,,,,
-16.90832774,,,,,,,,
-6.95737203,,,,,,,,
-0.300725301,,,,,,,,
-58.83026123,,,,,,,,
-4.727363586,,,,,,,,
-11.89772288,,,,,,,,
-22.53437042,,,,,,,,
39.39787547,,,,,,,,
1.386642456,,,,,,,,
19.97470856,,,,,,,,
30.26421865,,,,,,,,
-20.58792114,,,,,,,,
35.39784749,,,,,,,,
19.51503754,,,,,,,,
-7.493972778,,,,,,,,
39.02339935,,,,,,,,
-9.51162974,,,,,,,,
7.639249166,,,,,,,,
32.49708811,,,,,,,,
-20.13715108,,,,,,,,
21.36834462,,,,,,,,
19.35831706,,,,,,,,
-7.916132609,,,,,,,,
53.150177,,,,,,,,
1.541137695,,,,,,,,
20.79105377,,,,,,,,
69.29715474,,,,,,,,
27.06178029,,,,,,,,
93.98492177,,,,,,,,
103.0855179,,,,,,,,
77.99975077,,,,,,,,
149.0335464,,,,,,,,
116.6874568,,,,,,,,
139.5247777,,,,,,,,
184.6087774,,,,,,,,
127.5059382,,,,,,,,
168.5946782,,,,,,,,
153.5863876,,,,,,,,
111.1691793,,,,,,,,
152.0573298,,,,,,,,
87.79652913,,,,,,,,
79.42771912,,,,,,,,
94.08919017,,,,,,,,
21.85726166,,,,,,,,
45.84757487,,,,,,,,
35.34539541,,,,,,,,
-18.63797506,,,,,,,,
23.19399516,,,,,,,,
-22.3309199,,,,,,,,
-32.37279256,,,,,,,,
-5.762418111,,,,,,,,
-72.55077362,,,,,,,,
-40.94600677,,,,,,,,
-51.29718781,,,,,,,,
-84.93423462,,,,,,,,
-31.12252553,,,,,,,,
-73.57152303,,,,,,,,
-85.52869161,,,,,,,,
-50.92112223,,,,,,,,
-111.6164525,,,,,,,,
-68.60669454,,,,,,,,
-62.50762939,,,,,,,,
-105.8613459,,,,,,,,
-45.41269938,,,,,,,,
-87.00529734,,,,,,,,
-89.95183309,,,,,,,,
-35.8320872,,,,,,,,
-99.73430634,,,,,,,,
-64.97987111,,,,,,,,
-59.27594503,,,,,,,,
-98.24689229,,,,,,,,
-47.0902125,,,,,,,,
-71.46072388,,,,,,,,
-80.19733429,,,,,,,,
-26.66695913,,,,,,,,
-90.55233002,,,,,,,,
-51.29591624,,,,,,,,
-37.08966573,,,,,,,,
-70.48924764,,,,,,,,
-22.05848694,,,,,,,,
-51.35122935,,,,,,,,
-56.02614085,,,,,,,,
-9.551684062,,,,,,,,
-67.05570221,,,,,,,,
-34.63109334,,,,,,,,
-23.74871572,,,,,,,,
-68.04084778,,,,,,,,
-17.53966014,,,,,,,,
-41.22988383,,,,,,,,
-53.07102203,,,,,,,,
-3.16619873,,,,,,,,
-52.46353149,,,,,,,,
-26.95147196,,,,,,,,
-17.45382945,,,,,,,,
-50.89124044,,,,,,,,
1.400629679,,,,,,,,
-20.42420705,,,,,,,,
-39.00782267,,,,,,,,
9.013811747,,,,,,,,
-39.14737701,,,,,,,,
-6.722450256,,,,,,,,
11.71398163,,,,,,,,
-30.73438009,,,,,,,,
8.977890015,,,,,,,,
-15.32840729,,,,,,,,
-25.74094137,,,,,,,,
25.20084381,,,,,,,,
-23.40253194,,,,,,,,
-0.628471375,,,,,,,,
21.66970571,,,,,,,,
-16.69470469,,,,,,,,
27.45564779,,,,,,,,
-2.817471822,,,,,,,,
-27.64765422,,,,,,,,
9.349822998,,,,,,,,
-34.67146556,,,,,,,,
-7.217725118,,,,,,,,
26.4822642,,,,,,,,
-15.63771566,,,,,,,,
28.99074554,,,,,,,,
17.42235819,,,,,,,,
-1.802762349,,,,,,,,
48.34302266,,,,,,,,
-0.672340393,,,,,,,,
16.01982117,,,,,,,,
38.82185618,,,,,,,,
-7.411956787,,,,,,,,
31.13619486,,,,,,,,
15.18948873,,,,,,,,
-10.4042689,,,,,,,,
38.16954295,,,,,,,,
-12.37297058,,,,,,,,
6.914774577,,,,,,,,
35.19185384,,,,,,,,
-16.09230042,,,,,,,,
20.84064484,,,,,,,,
13.1889979,,,,,,,,
-10.61407725,,,,,,,,
34.57514445,,,,,,,,
-11.99595133,,,,,,,,
6.191889445,,,,,,,,
23.7642924,,,,,,,,
-19.50709025,,,,,,,,
22.26479848,,,,,,,,
14.29335276,,,,,,,,
-8.800824483,,,,,,,,
44.67487335,,,,,,,,
3.54162852,,,,,,,,
5.692799886,,,,,,,,
32.3232015,,,,,,,,
-16.37331645,,,,,,,,
51.42784119,,,,,,,,
27.7783076,,,,,,,,
-8.555412292,,,,,,,,
40.8595403,,,,,,,,
-9.335517883,,,,,,,,
1.780192057,,,,,,,,
39.59814707,,,,,,,,
-6.287574768,,,,,,,,
21.19604747,,,,,,,,
21.8261083,,,,,,,,
-16.01568858,,,,,,,,
36.89511617,,,,,,,,
2.707799276,,,,,,,,
1.885732015,,,,,,,,
35.51959991,,,,,,,,
-9.917894999,,,,,,,,
28.32285563,,,,,,,,
25.29207865,,,,,,,,
-7.218678792,,,,,,,,
40.3842926,,,,,,,,
4.598617554,,,,,,,,
7.95173645,,,,,,,,
38.53607178,,,,,,,,
-14.41192627,,,,,,,,
30.17171224,,,,,,,,
33.65739187,,,,,,,,
-13.27641805,,,,,,,,
37.43076324,,,,,,,,
4.761060079,,,,,,,,
0.494321187,,,,,,,,
39.74469503,,,,,,,,
-5.831400553,,,,,,,,
28.06663513,,,,,,,,
28.65155538,,,,,,,,
-21.41221364,,,,,,,,
30.83992004,,,,,,,,
2.61815389,,,,,,,,
-7.331212362,,,,,,,,
29.38461304,,,,,,,,
-18.33502452,,,,,,,,
3.095626831,,,,,,,,
6.904919942,,,,,,,,
-27.10119883,,,,,,,,
27.08053589,,,,,,,,
-4.334449768,,,,,,,,
-9.112993876,,,,,,,,
30.12943268,,,,,,,,
-29.27557627,,,,,,,,
0.820477804,,,,,,,,
27.96427409,,,,,,,,
-17.1585083,,,,,,,,
39.57939148,,,,,,,,
6.234804789,,,,,,,,
-1.640637716,,,,,,,,
42.01889038,,,,,,,,
-15.63898722,,,,,,,,
14.44530487,,,,,,,,
32.26280212,,,,,,,,
-1.590092977,,,,,,,,
36.24725342,,,,,,,,
14.46882884,,,,,,,,
8.029937744,,,,,,,,
61.1445109,,,,,,,,
6.363232931,,,,,,,,
12.92451223,,,,,,,,
30.82116445,,,,,,,,
-16.75860087,,,,,,,,
21.38964335,,,,,,,,
-4.44539388,,,,,,,,
-25.20306905,,,,,,,,
15.15579224,,,,,,,,
-37.4768575,,,,,,,,
-25.63476563,,,,,,,,
-18.67771149,,,,,,,,
-41.93941752,,,,,,,,
15.49053192,,,,,,,,
0.44631958,,,,,,,,
-18.69646708,,,,,,,,
17.45510101,,,,,,,,
-31.92170461,,,,,,,,
-17.12989807,,,,,,,,
-0.995635986,,,,,,,,
-43.34608714,,,,,,,,
5.239804586,,,,,,,,
-3.663380941,,,,,,,,
-6.851196289,,,,,,,,
40.91962179,,,,,,,,
-16.21309916,,,,,,,,
10.53841909,,,,,,,,
22.61670431,,,,,,,,
-20.31548818,,,,,,,,
42.19086965,,,,,,,,
54.43064372,,,,,,,,
52.04614003,,,,,,,,
150.0492096,,,,,,,,
130.3354899,,,,,,,,
181.3335419,,,,,,,,
240.8974965,,,,,,,,
201.778094,,,,,,,,
239.2883301,,,,,,,,
229.7156652,,,,,,,,
192.2677358,,,,,,,,
235.6786728,,,,,,,,
166.7267481,,,,,,,,
157.7812831,,,,,,,,
154.0406545,,,,,,,,
79.75927989,,,,,,,,
87.98885345,,,,,,,,
69.8188146,,,,,,,,
16.70328776,,,,,,,,
51.57057444,,,,,,,,
-8.261680603,,,,,,,,
-19.11036174,,,,,,,,
-3.723462423,,,,,,,,
-63.86852264,,,,,,,,
-36.9087855,,,,,,,,
-48.26196035,,,,,,,,
-92.81603495,,,,,,,,
-52.14246114,,,,,,,,
-96.14181519,,,,,,,,
-99.61573283,,,,,,,,
-68.63911947,,,,,,,,
-128.9803187,,,,,,,,
-83.8060379,,,,,,,,
-83.87947083,,,,,,,,
-120.0475693,,,,,,,,
-68.54184469,,,,,,,,
-107.4619293,,,,,,,,
-106.5362295,,,,,,,,
-74.03119405,,,,,,,,
-135.4570389,,,,,,,,
-94.50213114,,,,,,,,
-97.62318929,,,,,,,,
-128.9720535,,,,,,,,
-72.00145721,,,,,,,,
-110.4599635,,,,,,,,
-91.13661448,,,,,,,,
-48.71527354,,,,,,,,
-105.2694321,,,,,,,,
-64.13141886,,,,,,,,
-60.09737651,,,,,,,,
-110.4113261,,,,,,,,
-55.25620778,,,,,,,,
-80.07844289,,,,,,,,
-75.81679026,,,,,,,,
-33.258756,,,,,,,,
-80.41095734,,,,,,,,
-50.34033457,,,,,,,,
-47.28666941,,,,,,,,
-81.53978984,,,,,,,,
-22.08614349,,,,,,,,
-57.53993988,,,,,,,,
-61.82003021,,,,,,,,
-9.223302205,,,,,,,,
-58.23230743,,,,,,,,
-29.04860179,,,,,,,,
-26.07917786,,,,,,,,
-57.99706777,,,,,,,,
-12.86919912,,,,,,,,
-48.73466492,,,,,,,,
-44.977506,,,,,,,,
-2.914110819,,,,,,,,
-45.85361481,,,,,,,,
-1.500447591,,,,,,,,
6.08921051,,,,,,,,
-36.65224711,,,,,,,,
12.47437795,,,,,,,,
-12.08432515,,,,,,,,
-27.10851034,,,,,,,,
24.12605286,,,,,,,,
-33.49939982,,,,,,,,
-10.31049093,,,,,,,,
8.312225342,,,,,,,,
-24.95765686,,,,,,,,
20.53610484,,,,,,,,
-6.576538086,,,,,,,,
-13.47573598,,,,,,,,
41.98042552,,,,,,,,
-8.22130839,,,,,,,,
10.36866506,,,,,,,,
28.895696,,,,,,,,
-27.48330434,,,,,,,,
8.30968221,,,,,,,,
-14.32768504,,,,,,,,
-16.1301295,,,,,,,,
49.6819814,,,,,,,,
-0.83955129,,,,,,,,
18.33248138,,,,,,,,
50.28088888,,,,,,,,
-7.942199707,,,,,,,,
41.53951009,,,,,,,,
15.61482747,,,,,,,,
-5.872408549,,,,,,,,
41.45844777,,,,,,,,
-1.98841095,,,,,,,,
13.42264811,,,,,,,,
37.95464834,,,,,,,,
-6.972312927,,,,,,,,
33.15703074,,,,,,,,
17.92017619,,,,,,,,
-11.74354553,,,,,,,,
32.84708659,,,,,,,,
-14.88113403,,,,,,,,
3.890037537,,,,,,,,
25.24153392,,,,,,,,
-24.61560567,,,,,,,,
19.74328359,,,,,,,,
2.702395121,,,,,,,,
-23.49917094,,,,,,,,
32.9319636,,,,,,,,
-12.75634766,,,,,,,,
2.034505208,,,,,,,,
30.89269002,,,,,,,,
-25.70279439,,,,,,,,
15.91046651,,,,,,,,
8.175214132,,,,,,,,
-11.58269246,,,,,,,,
45.62600454,,,,,,,,
5.173365275,,,,,,,,
17.07235972,,,,,,,,
39.50119019,,,,,,,,
-21.15535736,,,,,,,,
23.27442169,,,,,,,,
29.72952525,,,,,,,,
4.889170329,,,,,,,,
42.73827871,,,,,,,,
6.366729736,,,,,,,,
25.43290456,,,,,,,,
67.5274531,,,,,,,,
12.70548503,,,,,,,,
58.57690175,,,,,,,,
43.30412547,,,,,,,,
-2.35970815,,,,,,,,
52.81066895,,,,,,,,
17.3406601,,,,,,,,
10.68019867,,,,,,,,
43.25040181,,,,,,,,
-8.838653564,,,,,,,,
26.63230896,,,,,,,,
24.77931976,,,,,,,,
0.027338664,,,,,,,,
58.11786652,,,,,,,,
16.969045,,,,,,,,
11.84686025,,,,,,,,
46.59970601,,,,,,,,
-3.044764201,,,,,,,,
22.41452535,,,,,,,,
23.87015025,,,,,,,,
-9.53133901,,,,,,,,
46.63085938,,,,,,,,
0.138282776,,,,,,,,
-2.464612325,,,,,,,,
37.49783834,,,,,,,,
-16.09706879,,,,,,,,
24.59494273,,,,,,,,
26.54298147,,,,,,,,
-15.90665181,,,,,,,,
36.61600749,,,,,,,,
